num_bo,ano_bo,id_delegacia,nome_departamento,nome_seccional,delegacia,nome_departamento_circ,nome_seccional_circ,nome_delegacia_circ,ano,mes,flag_status,rubrica,desdobramento,conduta,latitude,longitude,location,cidade,logradouro,numero_logradouro,flag_status_2
6487,2016,30204,DEMACRO,DEL.SEC.FRANCO DA ROCHA,DEL.POL.FRANCO ROCHA,DEMACRO,DEL.SEC.FRANCO DA ROCHA,DEL.POL.FRANCO ROCHA,2016,11,C,Lesão corporal (art. 129),NULL,NULL,-23.310050328999999,-46.723108924999998,POINT(-46.723108924999998 -23.310050328999999),FRANCO DA ROCHA,ESTRADA DA PARADINHA,0,C
2271,2016,30211,DEMACRO,DEL.SEC.GUARULHOS,DEL.POL.STA ISABEL,DEMACRO,DEL.SEC.GUARULHOS,DEL.POL.STA ISABEL,2016,7,C,Furto (art. 155),NULL,OUTROS,-23.3185595049999,-46.233480769000003,POINT(-46.233480769000003 -23.3185595049999),S.ISABEL,RUA MANOEL RODRIGUES BARBOSA,545,C
1908,2016,30215,DEMACRO,DEL.SEC.GUARULHOS,05º D.P. GUARULHOS,DEMACRO,DEL.SEC.GUARULHOS,05º D.P. GUARULHOS,2016,10,C,Furto (art. 155),NULL,INTERIOR ESTABELECIMENTO,-23.475121278423799,-46.534663888228401,POINT(-46.534663888228401 -23.475121278423799),GUARULHOS,RUA MURUTINGA DO SUL,38,C
3099,2016,30427,DEMACRO,DEL.SEC.CARAPICUIBA,01º D.P. CARAPICUIBA,DEMACRO,DEL.SEC.CARAPICUIBA,01º D.P. CARAPICUIBA,2016,4,C,Roubo (art. 157),NULL,TRANSEUNTE,,,,CARAPICUIBA,RUA RAFARD,0,C
9426,2016,30427,DEMACRO,DEL.SEC.CARAPICUIBA,01º D.P. CARAPICUIBA,DEMACRO,DEL.SEC.CARAPICUIBA,02º D.P. CARAPICUIBA,2016,10,C,Roubo (art. 157),"caput. Subtrair coisa móvel alheia, mediante grave ameaça ou violência a pessoa",VEICULO,-23.568230720153601,-46.852185423236598,POINT(-46.852185423236598 -23.568230720153601),CARAPICUIBA,ESTRADA FAZENDINHA,2000,C
1574,2016,20222,DECAP,DEL.SEC.7º ITAQUERA,22º D.P.  SAO MIGUEL PTA,DECAP,DEL.SEC.7º ITAQUERA,22º D.P.  SAO MIGUEL PTA,2016,5,C,Furto (art. 155),NULL,TRANSEUNTE,-23.492979551731199,-46.444198570435198,POINT(-46.444198570435198 -23.492979551731199),S.PAULO,AVENIDA MARECHAL TITO,125,C
6032,2016,20210,DECAP,DEL.SEC.5º LESTE,10º D.P. PENHA DE FRANCA,DECAP,DEL.SEC.5º LESTE,10º D.P. PENHA DE FRANCA,2016,7,C,Lesão corporal culposa na direção de veículo automotor (Art. 303),NULL,NULL,,,,S.PAULO,RODOVIA AYRTON SENNA DA SILVA,13,C
7233,2016,30122,DEMACRO,DEL.SEC.DIADEMA,01º D.P. DIADEMA,DEMACRO,DEL.SEC.DIADEMA,01º D.P. DIADEMA,2016,12,C,Roubo (art. 157),NULL,TRANSEUNTE,-23.6954893623933,-46.6301297770394,POINT(-46.6301297770394 -23.6954893623933),DIADEMA,RUA COIMBRA,408,C
742,2016,30105,DEMACRO,DEL.SEC.SANTO ANDRÉ,04º D.P. SANTO ANDRÉ,DEMACRO,DEL.SEC.SANTO ANDRÉ,04º D.P. SANTO ANDRÉ,2016,2,C,Roubo (art. 157),NULL,VEICULO,-23.629397863000001,-46.543820969000002,POINT(-46.543820969000002 -23.629397863000001),S.ANDRE,ALAMEDA ROGER ADAM,0,C
12345,2016,10216,DECAP,DEL.SEC.2º SUL,16º D.P. VILA CLEMENTINO,DECAP,DEL.SEC.2º SUL,16º D.P. VILA CLEMENTINO,2016,11,C,Roubo (art. 157),NULL,VEICULO,-23.600657096509,-46.629558924108998,POINT(-46.629558924108998 -23.600657096509),S.PAULO,RUA JUREIA,372,C
